Initial State,Heuristic,Expanded Nodes,Max Fringe Size,Depth,Execution Time
5 2 1 4 8 13 7 12 3 9 14 11 10 0 6 15,h1,Timeout,Timeout,Timeout,Timeout
5 2 1 4 8 13 7 12 3 9 14 11 10 0 6 15,h2,Timeout,Timeout,Timeout,Timeout
5 2 1 4 8 13 7 12 3 9 14 11 10 0 6 15,h3,Timeout,Timeout,Timeout,Timeout
5 2 1 4 8 13 7 12 3 9 14 11 10 0 6 15,h4,Timeout,Timeout,Timeout,Timeout
0 2 4 8 1 5 3 12 13 6 9 7 10 14 11 15,h1,368,1149,18,0.007997274398803711
0 2 4 8 1 5 3 12 13 6 9 7 10 14 11 15,h2,Timeout,Timeout,Timeout,Timeout
0 2 4 8 1 5 3 12 13 6 9 7 10 14 11 15,h3,Timeout,Timeout,Timeout,Timeout
0 2 4 8 1 5 3 12 13 6 9 7 10 14 11 15,h4,Timeout,Timeout,Timeout,Timeout
0 6 1 2 5 3 7 4 14 11 15 8 9 13 12 10,h1,Timeout,Timeout,Timeout,Timeout
0 6 1 2 5 3 7 4 14 11 15 8 9 13 12 10,h2,Timeout,Timeout,Timeout,Timeout
0 6 1 2 5 3 7 4 14 11 15 8 9 13 12 10,h3,Timeout,Timeout,Timeout,Timeout
0 6 1 2 5 3 7 4 14 11 15 8 9 13 12 10,h4,Timeout,Timeout,Timeout,Timeout
1 2 8 3 6 9 4 11 5 14 0 12 13 7 10 15,h1,3245,10164,20,0.07201647758483887
1 2 8 3 6 9 4 11 5 14 0 12 13 7 10 15,h2,Timeout,Timeout,Timeout,Timeout
1 2 8 3 6 9 4 11 5 14 0 12 13 7 10 15,h3,Timeout,Timeout,Timeout,Timeout
1 2 8 3 6 9 4 11 5 14 0 12 13 7 10 15,h4,Timeout,Timeout,Timeout,Timeout
2 6 7 3 10 0 1 4 5 14 13 12 9 8 11 15,h1,Timeout,Timeout,Timeout,Timeout
2 6 7 3 10 0 1 4 5 14 13 12 9 8 11 15,h2,Timeout,Timeout,Timeout,Timeout
2 6 7 3 10 0 1 4 5 14 13 12 9 8 11 15,h3,Timeout,Timeout,Timeout,Timeout
2 6 7 3 10 0 1 4 5 14 13 12 9 8 11 15,h4,Timeout,Timeout,Timeout,Timeout
1 2 4 6 9 5 3 7 13 10 15 12 14 0 11 8,h1,10818,33898,22,0.2503633499145508
1 2 4 6 9 5 3 7 13 10 15 12 14 0 11 8,h2,Timeout,Timeout,Timeout,Timeout
1 2 4 6 9 5 3 7 13 10 15 12 14 0 11 8,h3,Timeout,Timeout,Timeout,Timeout
